Unnamed: 0,x_i,x_j,Label
1928,"i made my face go blank , suddenly",I felt a chill run down my spine.,GPT2
1929,i said as jason and alex,a were sitting in the back of the room.,GPT2
1930,i got ready and jonathan had the butler,to take care of the rest.,GPT2
1931,"he had learned much about his fellow-challengers ,",and he had been able to convince them that he was not a fool.,GPT2
1932," i 'm flattered by your concern ,",but I'm not sure if you're aware of the fact that the US government has been using the same tactics to target and harass people for decades.,GPT2
1933, actions have punishments,for those who violate the law.,GPT2
1934,no hair on thoir bodios or facos and,a little bit of hair on thoir bodios.,GPT2
1935,we never gave a thought,to the possibility of a new world order.,GPT2
1936,"a ragged breath , then ,  some","of the other people in the room, and then ,",GPT2
1937,you exist to do just that,.The first thing you need to do is to find a way to make your life easier.You can do this by making your life easier by making your life easier.You can do this,GPT2
1938,she exclaimed when i reached,the door.,GPT2
1939,let us wait till this is over and,then we can start to get some more information about the game.,GPT2
1940, why did n't you tell me,"you were going to be a part of the team?""""I told you I was going to be a part of the team,"" he said.",GPT2
1941,"and try as i might , in that",case i will be able to do it.,GPT2
1942,are you going to tell him,that you're going to tell him that you're going to tell him that you're going to tell him that you're going to tell him that you're going to tell him that you're going to tell him that you,GPT2
1943,a rattling gurgle caused neb,"ulous, but still audible, sounds.",GPT2
1944,"until then , you need",to add the following line to your .,GPT2
1945," ugh , '' i remarked , but",I was not sure if I was going to be able to do it.,GPT2
1946,it 's the first meeting of,"the group, which was held in the same building as the meeting of the group's members.",GPT2
1947,when he got in on the drivers,"' side, he was like, 'I'm going to do this.",GPT2
1948,it 'll keep them busy for,a while.,GPT2
1949, she never knew he was,a man.,GPT2
1950,"when they were topside , she started hauling",them to the hospital.,GPT2
1951,"ya know , blend with","the rest of the ingredients and you'll have a delicious, healthy, and delicious meal.",GPT2
1952,"it was sophia , her best friend and",the only one who could help her.,GPT2
1953,it must be a,good idea to have a good idea of what you're doing.,GPT2
1954,cooper pushed the phone,to the ground and tried to push it back.,GPT2
1955,michael was n't due to be in the,hospital for a few days.,GPT2
1956,"i pull away , that first blissful swoon",of blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful blissful bliss,GPT2
1957,there were also photos of,"the two men in the car, which were later found to be fake.",GPT2
1958,visions of us together plagued my sleep until,I woke up.,GPT2
1959,i scoured his garments first,", and then he took a look at the other.",GPT2
1960,"i peer deep into his voice , searching",for the source of his voice.,GPT2
1961,"soon , i 'd be thinking half",a dozen times about it.,GPT2
1962,her face tightened and then,he looked at her.,GPT2
1963,"or , you know",", the one that's going to be the most important thing for the rest of the year.",GPT2
1964,who is jarvis meeting,"with the other members of the group, and the other members of the group are also in the room.",GPT2
1965,she sampled his skin with her tongue and,"then she said, ""I'm going to have to get a tattoo.",GPT2
1966,"sometimes formal , sometimes casual , but","always informal ), sometimes formal , sometimes casual , but always informal ) The name of the person who is the subject of the conversation.",GPT2
1967,his head swam as he felt,the blood flow to his brain.,GPT2
1968," trajan , what",is the best way to get rid of the virus?The virus is a virus that infects the body and causes a variety of diseases.,GPT2
1969," the man in the story remarries ,",and the story is told in the same way that the story of the man in the story is told in the story of the man in the story.,GPT2
1970,although the place was in obvious need of,repair).,GPT2
1971,"when he exited a few minutes later ,",he was still in the car.,GPT2
1972,it looked like a,good idea.,GPT2
1973,#NAME?,"ased to ""i dont know""""i dont know""""i dont know""""i dont know""""i dont know""""i dont know""",GPT2
1974, you called some,of the other people who were there.,GPT2
1975,but i 'm not doing,it.,GPT2
1976,"he looked about briefly , for a","moment, before he turned to look at the man.",GPT2
1977,he stood straight with his shoulders,straight and his face was straight.,GPT2
1978,above all else god wants you and clintand,is the only one who can help you.,GPT2
1979,maybe even because i thought that if i,was a girl i would be a girl.,GPT2
1980,but that was all i,could do.,GPT2
1981, i 'm fine,", but I'm not going to do it.",GPT2
1982,"the girl rose slowly and graciously , tossed on the","floor, and then she was gone.",GPT2
1983,"she screamed , struggling",to keep her head down.,GPT2
1984,that 's one of the,most important things about the game is that it's a game about survival.,GPT2
1985,i noticed he started to shake a little,bit.,GPT2
1986,"they began to walk , and berel did","not go to him, but went to him,",GPT2
1987, i said ... '' ,I'm not sure if I'm going to be able to do that.,GPT2
1988,"also , i know as well as you",", that the only way to get a good deal on a new car is to buy one.",GPT2
1989,he was also interested in how to,use the new technology to improve the quality of life for the people who live in the city.,GPT2
1990,"lying awake in the dark , she endured",the pain of her own death.,GPT2
1991,my stomach lurched as two men in overalls,approached.,GPT2
1992,"it contained odd pieces of furniture , a","few of which were missing, and a few of which were missing from the house.",GPT2
1993, evelyn ... ''  she stayed at,"the house for a while, and then went to the house to get some food.",GPT2
1994,"for several heartbeats , he could",not have been more wrong.,GPT2
1995, i 'll need time to prepare him,for the next game.,GPT2
1996,witch hunts were supposed to,be a way to get rid of the bad guys.,GPT2
1997,the army had passed and were well ahead,of the enemy.,GPT2
1998, that gives us time,to get to know each other.,GPT2
1999,"his voice was rusty and choked , but",he was still able to speak.,GPT2
2000,it had stopped bleeding and i,was able to get my hands on a few more pieces of the puzzle.,GPT2
2001,corrado put the gun away,"and fired at the man, who was shot in the leg.",GPT2
2002,"she roared , spinning away from me to",face me.,GPT2
2003,he was pointing out,"that the ""sickening"" video was not a ""sickening"" video.",GPT2
2004,a grimace of disgust painted,on his face.,GPT2
2005,the toilets are a,"bit of a mess, but I'm not sure if it's because I'm too lazy to do it, or if I'm just too lazy to do it.",GPT2
2006,"as she was reaching for the ice , adrienne",said.,GPT2
2007, not the smartest thing i 've,ever done.,GPT2
2008,he looked off for a moment,", then turned back to the door.",GPT2
2009,she was in bed with me,", and I was like, 'Oh my God, I'm so sorry.",GPT2
2010,but at least i 'm good at,it.,GPT2
2011,"so they tried again , this time the",same thing.,GPT2
2012, hailgard would never have gone along with,"the idea of a ""diversity"" of the species.",GPT2
2013, i fear you,will be disappointed.,GPT2
2014,balthazar grabbed her hand again and ran almost,to the door.,GPT2
2015,afterward the women had returned to the hotel,.The men were arrested and charged with assault and battery.The women were released on bail.The men were charged with assault and battery.The women were released on,GPT2
2016," i 'm not a whore , ''",;if ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( ! ( !,GPT2
2017,even if he had to unhorse and wriggle,his way out of it).,GPT2
2018,i liked the work he was,doing.,GPT2
2019,she wondered if it was just the prince,'s own personal feelings that made him feel so vulnerable.,GPT2
2020,after they 'd gotten so upset when he,was asked to leave the club that he was forced to leave the club.,GPT2
2021,"- '' lee , christian thinking that abortion","is a sin, and that it is a sin to have an abortion.",GPT2
2022,chapter 47 elle i never,knew you were there.,GPT2
2023,he did n't remember ending the call with her,".""I'm sorry, I'm sorry,",GPT2
2024,the author uses uk english other titles available,here.,GPT2
2025,maybe it isnt too,"bad, but I dont think it is.",GPT2
2026," no more books , no more monsters",", no more monsters ,",GPT2
2027,his snarl faded slowly as he,turned to face the man.,GPT2
2028,"holding it up before her ,",and she was so happy to see her.,GPT2
2029,the six-inch blade would n't do much damage to,"the blade, but it would be a good idea to have a small blade to protect the blade from the blade's impact.",GPT2
2030, pregnancy is strange when you really,think about it.,GPT2
2031,our summer had been too,much for him.,GPT2
2032,her cheeks were flushed and red,".""I'm sorry, I'm sorry,",GPT2
2033,i should have given myself more time,to think about it.,GPT2
2034,the vet said the bullet grazed his side,and he was taken to the hospital.,GPT2
2035,"when the man asks , i saved you and",i will give you a chance to live.,GPT2
2036,"his fists are clenched ,",and his eyes are filled with tears .,GPT2
2037,we 're just another moving object out,of the box.,GPT2
2038,the love of my kin,", and the love of my father,",GPT2
2039,the sky knows what,'s coming.,GPT2
2040,"gavin cleared his throat ,","""I'm not going to lie, I'm not going to lie to you.",GPT2
2041,there had to be five,"or six people in the room, and I was like, 'Oh, I'm so sorry, I'm so sorry,'"" he said.",GPT2
2042, i did n't mean i only want,to be a part of the team.,GPT2
2043,the prisoner that he had come to,", and the prisoner that he had come to,",GPT2
2044,ill see you tomorrow,".I'm sorry, but I'm not sure I can do this.I'm sorry,",GPT2
2045,tiffany was too good of,a player to be a good player.,GPT2
2046,found him and his little dog out,of the woods.,GPT2
